grupo,n,advertencia,etiqueta,umbral,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,area_FP_ha,area_FN_ha,area_error_ha
114,20588,,114,0.9407730597461879,4.857198367981349e-05,0.0,20587.0,0.0,1.0,0.9999514280163202,0.0,0.0,0.0,0.0,0.9996114052557439,0.1111111111111111,0.5,1.0,0.0,1.0,0.0,0.00010073856537928805,0.0,0.04,0.04
115,25609,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
116,27483,,116,0.9407730597461879,7.277225921478732e-05,0.0,27481.0,0.0,2.0,0.9999272277407852,0.0,0.0,0.0,0.0,0.9997270841672429,0.19642857142857142,0.5,1.0,0.0,1.0,0.0,6.77569696563296e-05,0.0,0.08,0.08
117,27486,,117,0.9407730597461879,0.0003638215818962381,0.0,27476.0,0.0,10.0,0.9996361784181038,0.0,0.0,0.0,0.0,0.8479545785412723,0.2672573687620812,0.5,1.0,0.0,1.0,0.0,0.00032185064628720284,0.0,0.4,0.4
118,8128,,118,0.9407730597461879,0.00036909448818897637,0.0,8125.0,0.0,3.0,0.999630905511811,0.0,0.0,0.0,0.0,0.9952,0.04672364672364672,0.5,1.0,0.0,1.0,0.0,0.0006967881345190108,0.0,0.12,0.12
119,39,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
120,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
121,14375,,121,0.9407730597461879,0.03749565217391304,273.0,13812.0,24.0,266.0,0.9798260869565217,0.9191919191919192,0.5064935064935064,0.65311004784689,0.556461475743987,0.99575735048415,0.8883377085297625,0.752379450558115,0.9982653946227233,0.0017346053772766695,0.4935064935064935,0.6741164737751796,0.013886678032577038,0.96,10.64,11.6
122,26009,,122,0.9407730597461879,0.004383098158329809,76.0,25883.0,12.0,38.0,0.9980775885270483,0.8636363636363636,0.6666666666666666,0.7524752475247525,0.6985294117647058,0.9994959400819098,0.9030145986525885,0.8331016283709853,0.9995365900753042,0.0004634099246958872,0.3333333333333333,0.7578790859374571,0.0030035071540623903,0.48,1.52,2.0
123,9739,,123,0.9407730597461879,0.0003080398398192833,1.0,9736.0,0.0,2.0,0.9997946401067871,1.0,0.3333333333333333,0.5,0.38461538461538464,0.9999657628047111,0.9166666666666665,0.6666666666666666,1.0,0.0,0.6666666666666666,0.577290977762595,0.0009961921023204923,0.0,0.08,0.08
